human_id,Symbol,Pattern,Status_Hoang_et_al,Hoang_et_al_lfc,Hoang_et_al_padj,Status_Govaere_et_al,Govaere_et_al_lfc,Govaere_et_al_padj,Status_In_house_MCD,In_house_MCD_lfc,In_house_MCD_padj,Status_External_MCD_1,External_MCD_1_lfc,External_MCD_1_padj,Status_External_MCD_2,External_MCD_2_lfc,External_MCD_2_padj
ENSG00000147642,SYBU,"UP in 3 (In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,-0.529435948507058,0.0993969470257743,DOWN,-1.42762268853515,7.27450160914558e-08,UP,2.2448088317063126,6.464787715564471e-07,UP,1.797014008348725,0.0935101954325732,UP,1.780863106633239,7.464111069795438e-05
ENSG00000132155,RAF1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.0391525202529778,0.844561727426023,UP,0.950452890183102,3.61103518716758e-08,NS,0.0152262217377903,0.9403006009118896,NS,-0.2806751820555484,0.0861734227323487,DOWN,-1.271126395216437,0.002290519220723
ENSG00000134222,PSRC1,"UP in 3 (In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,-0.563734269669652,0.536937568988852,DOWN,-0.91975725753544,0.0388279475894549,UP,3.2127951231052,5.455142219587377e-18,UP,2.882541246691233,0.0001419366455748,UP,3.0080928597501466,0.0020905810643402
ENSG00000136826,KLF4,"UP in 4 (Hoang_et_al,In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.00050761592645,0.0194521762426498,DOWN,-1.82510484624088,1.1198660447447401e-17,UP,1.3895261264493106,1.0789805610163932e-11,UP,1.176954167778742,7.004493618792487e-05,UP,2.0488872272309693,0.0004055288738045
ENSG00000266852,MIR4482,UP in 1 (Govaere_et_al) | DOWN in 1 (Hoang_et_al),DOWN,-1.23815912709445,0.0842612503106087,UP,2.79016921622744,0.0009205268771489,NS,,,NS,,,NS,,
ENSG00000185522,LMNTD2,UP in 1 (External_MCD_2) | DOWN in 1 (In_house_MCD),NS,-0.382653861494478,0.272325830759324,NS,0.727134071408094,0.0880331109994857,DOWN,-0.9179802349383678,0.0001669680673592,NS,-0.7567117572867634,0.0403294760233242,UP,1.1509325991947714,0.0973680175842079
ENSG00000131069,ACSS2,"UP in 1 (Govaere_et_al) | DOWN in 3 (In_house_MCD,External_MCD_1,External_MCD_2)",NS,0.731186384681468,0.367495510756503,UP,1.25640208047402,5.93124737010086e-05,DOWN,-1.710680013286475,1.2256140889647005e-13,DOWN,-3.749085531075413,1.6423619856780724e-50,DOWN,-1.610573112269953,7.539811412019907e-07
ENSG00000100852,ARHGAP5,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,-0.235376514647095,0.0459097518995773,UP,1.25170305791631,0.0004093200644621,NS,-0.0677875147027799,0.8196813614909956,NS,-0.2703897551625125,0.1806540445452645,DOWN,-1.024221371266448,0.0075716445601142
ENSG00000198865,CCDC152,UP in 1 (External_MCD_1) | DOWN in 1 (Govaere_et_al),NS,-0.507963911247465,0.0061953217162954,DOWN,-0.8749633145743,8.79397092174286e-06,NS,-0.8127917958203446,0.0045713706237327,UP,0.8992582387569028,3.1057314327464384e-05,NS,-0.1386315084110913,0.8698828134540039
ENSG00000067082,KLF6,"UP in 3 (In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,0.42285712936683,0.277273617493689,DOWN,-1.41906263778036,1.55549396551486e-13,UP,1.793546467000784,2.490451669592562e-23,UP,1.9533857690805343,6.807355656470014e-14,UP,1.0129281755963309,0.0060415820565192
ENSG00000102804,TSC22D1,UP in 1 (Hoang_et_al) | DOWN in 1 (External_MCD_1),UP,0.80548823471082,1.33653721955429e-05,NS,0.280227581840322,0.174960766796134,NS,-0.6007206233173598,0.0192667575456839,DOWN,-1.2398183671517444,5.103060527024908e-08,NS,0.3767171287050041,0.416038209235851
ENSG00000153029,MR1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.299175571076793,0.145803005442913,UP,0.865986799464631,2.22943721514404e-09,NS,-0.0704739338966065,0.7661758220935547,DOWN,-0.8650022804780981,0.0008955062401362,NS,0.2322857038119308,0.7271727414166539
ENSG00000160209,PDXK,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.405994809115712,0.0301516678099965,UP,0.849033342224022,1.79186222675421e-13,NS,-0.118927168585997,0.7056925001715662,NS,-0.1027203859431997,0.7983580660416818,DOWN,-1.084310112532776,0.0027474371816275
ENSG00000263361,MIR378H,UP in 1 (Govaere_et_al) | DOWN in 1 (Hoang_et_al),DOWN,-0.896169129719118,0.0719585809464186,UP,3.02912646830144,0.0016302018229181,NS,,,NS,,,NS,,
ENSG00000170525,PFKFB3,UP in 1 (In_house_MCD) | DOWN in 1 (Govaere_et_al),NS,0.122801487786804,0.754547394948869,DOWN,-1.35119466525704,3.31424874072314e-07,UP,1.920765272885927,3.0699188738461233e-09,NS,0.8494386331191836,,NS,0.3543894350226025,0.4087626629111151
ENSG00000162365,CYP4A22,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,-0.583458558477498,0.115585170202777,NS,0.346872388957182,0.0882368062927757,UP,3.920770669254584,2.229605616802601e-28,UP,5.258083611429913,1.043921346770966e-78,DOWN,-1.1818629557423252,0.0002364886681857
ENSG00000107968,MAP3K8,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,0.308035356762427,0.369945004666272,DOWN,-1.30188276747942,5.63342111882992e-19,NS,0.4072402779426571,0.0513905224249768,NS,0.1005464956547929,0.7637131018342174,UP,1.6589596966610762,0.0002714467277784
ENSG00000211890,IGHA2,UP in 1 (Hoang_et_al) | DOWN in 1 (External_MCD_1),UP,2.00360020286148,0.0232920244745327,NS,-0.198486010366257,0.784359902370314,NS,-0.1498638435567736,0.7273810319800328,DOWN,-0.945581541487551,0.0991577578517172,NS,1.746051665666242,0.2080012352327467
ENSG00000122390,NAA60,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.098004564962264,0.735782684035452,UP,0.80626936784716,3.01130506959327e-07,NS,-0.1842152641311189,0.4739967068881554,NS,-0.3965971004902865,0.0130329102369773,DOWN,-0.8639248196291814,0.0067463876565349
ENSG00000148965,SAA4,"UP in 1 (Hoang_et_al) | DOWN in 4 (Govaere_et_al,In_house_MCD,External_MCD_1,External_MCD_2)",UP,0.903439302523418,0.0655213656467614,DOWN,-0.905806948324381,4.54200476415855e-06,DOWN,-1.1930883671656236,1.238264320657646e-06,DOWN,-1.6874746001611407,1.0196188854998114e-15,DOWN,-1.730561132175776,4.548354786205885e-08
ENSG00000099910,KLHL22,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.279354069770636,0.112049442120927,UP,0.849270963632639,5.32237388106424e-13,NS,-0.4281495728830043,0.0039945370870592,DOWN,-0.8583620936444218,6.8628184921478954e-09,NS,-0.3377551700325961,0.5170815824575509
ENSG00000105327,BBC3,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,1.20998908028909,0.0041408872951188,UP,2.26160193137134,2.1420625499583e-15,NS,-0.7604704780557721,0.0013103765557314,DOWN,-0.9227628660029894,0.0002342121161121,NS,-0.0849245682485733,0.896657023876761
ENSG00000072310,SREBF1,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,-0.0858942450622665,0.889204049369997,UP,0.955366289390996,0.0026024921027097,DOWN,-1.0063289837799172,0.0015305452830638,DOWN,-1.5228319422335468,5.475258535924349e-06,NS,0.0518313117999307,0.940208327896295
ENSG00000181444,ZNF467,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,-0.214977117107966,0.565400477472684,UP,0.879903880924747,0.0055361085069976,NS,-0.7494859525581702,0.0028602924082891,DOWN,-1.0294136268050895,3.3416904427373494e-08,NS,-0.128702383476537,0.846782266311997
ENSG00000259431,THTPA,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,-0.223750136533133,0.365208242642026,UP,1.00329069105903,7.64263045213251e-07,NS,-0.7324338241511308,4.630743059205168e-05,DOWN,-0.9057637369120468,3.112375900001725e-05,DOWN,-1.4420699323325898,0.0039275929641126
ENSG00000148356,LRSAM1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.50493994351925,0.0502207505631937,UP,1.02221738230933,3.44359199421069e-06,NS,-0.5120650033134465,0.0102344355659093,DOWN,-0.8202177391327015,1.742118579358394e-06,NS,-0.0004709961471817,0.9996278260353586
ENSG00000161835,TAMALIN,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,0.537289506796407,0.0774587018875391,DOWN,-1.08183116121068,8.09809139195412e-05,NS,0.4150174433247366,0.025456406366461,NS,0.3170250002064908,0.3793296122528077,UP,1.0992173732650932,0.0222068308334873
ENSG00000165953,SERPINA12,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.790858271227926,0.55936213655143,UP,1.04388978358007,0.0097385795195601,NS,-0.0984716420202506,0.7794044862993603,DOWN,-4.554670350860071,8.152699467090732e-10,NS,-0.6991111302863393,0.2961866737255742
ENSG00000134324,LPIN1,UP in 1 (In_house_MCD) | DOWN in 1 (External_MCD_1),NS,0.075123202218107,0.902523819175811,NS,-0.120407451069979,0.62301125027611,UP,1.8811578803492328,1.277823826873043e-07,DOWN,-1.211535653452491,0.0312747552667212,NS,-1.1639022779378052,
ENSG00000145777,TSLP,UP in 1 (External_MCD_2) | DOWN in 1 (Govaere_et_al),NS,-0.238036968842328,0.647083494024875,DOWN,-1.17051027986089,7.82321441078522e-10,NS,0.6711105496152979,0.0091321739486575,NS,0.662543231697505,0.4445613286006665,UP,4.04957336618729,0.0052365315542842
ENSG00000263001,GTF2I,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.0067984294792522,0.968205566418095,UP,1.31154906733792,6.7300517965922895e-12,NS,0.048679426135038,0.8335416954164901,NS,-0.7903666438008111,1.733513476557075e-09,DOWN,-0.8621285589452817,0.003997429443063
ENSG00000154734,ADAMTS1,UP in 1 (In_house_MCD) | DOWN in 1 (Govaere_et_al),NS,0.15360481333442,0.753145057219615,DOWN,-1.64569471048396,4.82661199170585e-12,UP,0.9869562288888232,9.094025761703524e-08,NS,0.5050509812048646,0.0199879863944661,NS,0.6971175631723051,0.0762807258073214
ENSG00000188536,HBA2,"UP in 2 (External_MCD_1,External_MCD_2) | DOWN in 1 (In_house_MCD)",NS,,,NS,3.92181521944909,0.0006631108621971,DOWN,-0.873568340674275,0.0607041938505355,UP,1.196371608095906,1.6661137712028723e-05,UP,1.2487464806443047,0.0130288787709345
ENSG00000167588,GPD1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.409982908332237,0.165430898773493,UP,0.814773382275552,8.252394439104579e-11,NS,0.1051204651378272,0.6162652977859552,NS,0.4157880098879589,0.0079777857359582,DOWN,-0.9517519907459548,0.0029896055759771
ENSG00000143333,RGS16,"UP in 2 (Hoang_et_al,In_house_MCD) | DOWN in 1 (Govaere_et_al)",UP,2.65293668123798,6.65937610539585e-05,DOWN,-1.48623475028704,0.0003006389870375,UP,2.91693684535028,0.0002406084107359,NS,-0.3500209812489541,0.7429990268221094,NS,-0.9037698839940732,0.5582934118191843
ENSG00000275718,CCL15,"UP in 3 (In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",NS,-0.0044001583332282,0.994657625700189,DOWN,-1.21622875945274,2.63135250035891e-06,UP,2.2184171350435387,2.453374859172865e-16,UP,1.6873690287233738,1.5721385772299583e-16,UP,2.3686209349438085,0.0347205577589112
ENSG00000167900,TK1,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.767550369170231,0.0657472097795972,UP,1.01594668086635,1.03201729883754e-05,DOWN,-1.0527183848541886,9.180620125552578e-05,DOWN,-1.6749098472078456,5.007499411669378e-10,NS,-0.5938761273055007,0.2991795647144855
ENSG00000101447,FAM83D,UP in 1 (Govaere_et_al) | DOWN in 1 (Hoang_et_al),DOWN,-0.828995932887946,0.0400770251437868,UP,0.897192720265954,0.0001000768477213,NS,1.325450810411877,0.0041653426044298,NS,2.9715761455787915,0.0002835124198877,NS,2.3045846563016013,0.20693894446666
ENSG00000102760,RGCC,"UP in 2 (Hoang_et_al,External_MCD_1) | DOWN in 1 (Govaere_et_al)",UP,1.6905480502978,0.0121343235634983,DOWN,-0.867340084569263,0.0189981862874361,NS,0.3932663213195071,0.2866241838748596,UP,3.6306936973063726,0.0366163670479514,NS,1.4642160073119936,0.3066504751741103
ENSG00000176635,HORMAD2,"UP in 2 (External_MCD_1,External_MCD_2) | DOWN in 1 (Hoang_et_al)",DOWN,-1.14390548532464,0.0562282260399177,NS,-0.788753806081845,0.0185809119422906,NS,1.1245761321876044,0.0052747526420352,UP,1.6838418107396422,0.0045321257878097,UP,3.089080948998107,0.00114949035279
ENSG00000129173,E2F8,UP in 1 (In_house_MCD) | DOWN in 1 (External_MCD_2),NS,1.50043192411118,0.0527842039715148,NS,2.31663077897855,7.13120985755844e-06,UP,0.8772808453561652,0.0040508348972482,NS,0.5378608607030878,0.2743911552197781,DOWN,-1.1450104958294278,0.0015126576346471
ENSG00000112972,HMGCS1,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",UP,2.35553552988521,0.016845998102629,UP,1.61896256206114,0.0026759482641956,NS,-0.7831812726355546,0.0001654242774376,DOWN,-1.2556652242709885,0.000111987153415,DOWN,-1.043865980763532,0.0065850402778795
ENSG00000122376,SHLD2,UP in 1 (In_house_MCD) | DOWN in 1 (External_MCD_2),NS,0.211484507513754,0.312239868442157,NS,0.359499834820834,0.009371080857907,UP,0.9892109390477912,0.0001680188821798,NS,-0.3499444761204604,0.0332184609354323,DOWN,-1.211320281480344,0.023409721804322
ENSG00000174327,SLC16A13,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 1 (External_MCD_2)",UP,1.23332920011204,0.0010085236536898,UP,1.22783133485929,1.00948741272011e-07,NS,0.4482034752888877,0.0758465430249428,NS,-0.4150700112361963,0.3052495586516833,DOWN,-1.297989328090876,0.0100733797053078
ENSG00000177575,CD163,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.257404415521001,0.471759043144289,UP,0.916537986917904,0.0315589054430028,NS,0.0223449718746343,0.9525514076208392,DOWN,-1.1831820152044314,8.81932840998537e-05,NS,-0.630943470887008,0.3433504353989658
ENSG00000099860,GADD45B,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (Govaere_et_al)",NS,0.164957481721144,0.740851222027341,DOWN,-2.62173987643332,8.41013277575509e-27,UP,3.1036988477428524,1.833080199372484e-24,UP,3.7059264762206072,1.4545952447622638e-24,NS,-0.1462750524454277,0.835097700730933
ENSG00000140479,PCSK6,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.0770262636641936,0.8316457605389,UP,1.60408416251373,6.89856791779325e-14,NS,-0.0550644252976931,0.8429531535921994,NS,-0.7676790219296318,4.484561340088137e-08,DOWN,-1.019915849055982,0.0005672194400556
ENSG00000142089,IFITM3,UP in 1 (External_MCD_2) | DOWN in 1 (External_MCD_1),NS,0.0519389469232073,0.924056808456585,NS,-0.961321316745197,0.0001369746649318,NS,-1.209640986331493,0.0281523730268523,DOWN,-1.034683105986291,6.602161695864725e-17,UP,1.3341673699424017,0.0002152099486664
ENSG00000142677,IL22RA1,"UP in 2 (In_house_MCD,External_MCD_1) | DOWN in 1 (External_MCD_2)",NS,-0.0816449542743201,0.855127725097779,NS,0.552217450883486,0.0002763162349447,UP,1.3469305040620565,3.2626595140379685e-10,UP,1.1336979587326548,0.0036396469289824,DOWN,-1.5385465269948513,0.0137380552273369
ENSG00000160785,SLC25A44,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.259510933564983,0.230960442888018,UP,0.866606322436283,4.42324809420975e-22,NS,0.0129275011000238,0.9695095225271824,NS,-0.4929217358115295,0.0413573046800947,DOWN,-1.0437802486936725,0.0042326140486261
ENSG00000142784,WDTC1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.112227635570656,0.619262481880232,UP,0.822490119917906,3.05880061684186e-09,NS,-0.2993842064755703,0.2215732694906204,NS,-0.3512481918170184,0.0240207169569332,DOWN,-1.2279543489441622,5.234830545837932e-05
ENSG00000112293,GPLD1,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,-0.171315999809005,0.665631821760942,UP,1.12182635636775,1.05584811904653e-09,NS,-0.1685332000734068,0.4202673969961478,DOWN,-0.9058879901774248,2.1915830764904443e-06,DOWN,-1.7405943830710544,7.911592735637481e-07
