gene_id,gene_symbol
ENSG00000114346.14,ECT2
ENSG00000170854.18,RIOX2
ENSG00000166582.11,CENPV
ENSG00000108602.18,ALDH3A1
ENSG00000171747.9,LGALS4
ENSG00000168374.11,ARF4
ENSG00000254226.7,LINC01933
ENSG00000130707.18,ASS1
ENSG00000126787.13,DLGAP5
ENSG00000125753.15,VASP
ENSG00000236548.4,RNF217-AS1
ENSG00000258460.5,LOC124903387
ENSG00000112320.12,SOBP
ENSG00000101230.6,ISM1
ENSG00000112685.14,EXOC2
ENSG00000164825.4,DEFB1
ENSG00000127481.15,UBR4
ENSG00000087088.21,BAX
ENSG00000198053.12,SIRPA
ENSG00000138190.17,EXOC6
ENSG00000180423.4,HARBI1
ENSG00000184357.5,H1-5
ENSG00000213853.10,EMP2
ENSG00000137752.25,CASP1
ENSG00000173894.11,CBX2
ENSG00000154262.13,ABCA6
ENSG00000130816.17,DNMT1
ENSG00000270885.2,RASL10B
ENSG00000105443.17,CYTH2
ENSG00000131148.9,EMC8
ENSG00000249274.1,PDLIM1P4
ENSG00000135926.15,TMBIM1
ENSG00000010030.14,ETV7
ENSG00000129474.17,AJUBA
ENSG00000165806.21,CASP7
ENSG00000139445.18,FOXN4
ENSG00000223764.3,LINC02593
ENSG00000259330.3,INAFM2
ENSG00000164142.16,FHIP1A
ENSG00000117682.18,DHDDS
ENSG00000255353.1,ASS1P13
ENSG00000129219.14,PLD2
ENSG00000165152.9,PGAP4
ENSG00000140022.14,STON2
ENSG00000173391.9,OLR1
ENSG00000103522.17,IL21R
ENSG00000168610.17,STAT3
ENSG00000175857.9,GAPT
ENSG00000120254.16,MTHFD1L
ENSG00000102316.17,MAGED2
ENSG00000171860.5,C3AR1
ENSG00000240006.3,LINC02004
ENSG00000204616.11,TRIM31
ENSG00000002834.19,LASP1
ENSG00000204287.14,HLA-DRA
ENSG00000171954.13,CYP4F22
ENSG00000231312.9,MAP4K3-DT
ENSG00000175224.17,ATG13
ENSG00000180801.14,ARSJ
ENSG00000237988.6,OR2I1P
ENSG00000287636.4,LOC124901766
ENSG00000173918.15,C1QTNF1
ENSG00000175352.12,NRIP3
ENSG00000102900.13,NUP93
ENSG00000176641.11,RNF152
ENSG00000277075.4,H2AC8
ENSG00000135269.18,TES
ENSG00000165490.13,DDIAS
ENSG00000164124.11,TMEM144
ENSG00000187688.15,TRPV2
ENSG00000101247.18,NDUFAF5
ENSG00000129988.6,LBP
ENSG00000112245.14,PTP4A1
ENSG00000227070.3,EPS15-AS1
ENSG00000291125.2,PLGLA
ENSG00000011422.12,PLAUR
ENSG00000034239.11,CLXN
ENSG00000186638.17,KIF24
ENSG00000257285.8,PRMT5-DT
ENSG00000066322.15,ELOVL1
ENSG00000148680.16,HTR7
ENSG00000211648.2,IGLV1-47
ENSG00000188352.13,FOCAD
ENSG00000131238.18,PPT1
ENSG00000128595.17,CALU
ENSG00000174327.7,SLC16A13
ENSG00000179222.18,MAGED1
ENSG00000111412.6,SPRING1
ENSG00000001561.7,ENPP4
ENSG00000172757.13,CFL1
ENSG00000145349.20,CAMK2D
ENSG00000174226.9,SNX31
ENSG00000092853.14,CLSPN
ENSG00000247624.7,CPEB2-DT
ENSG00000169896.18,ITGAM
ENSG00000164484.12,TMEM200A
ENSG00000092964.18,DPYSL2
ENSG00000058262.11,SEC61A1
ENSG00000141027.23,NCOR1
ENSG00000147174.12,GCNA
ENSG00000160097.21,FNDC5
ENSG00000144580.15,CNOT9
ENSG00000185811.21,IKZF1
ENSG00000163376.11,KBTBD8
ENSG00000125257.16,ABCC4
ENSG00000147576.17,ADHFE1
ENSG00000243069.9,ARHGEF26-AS1
ENSG00000139344.8,AMDHD1
ENSG00000173692.14,PSMD1
ENSG00000064601.21,CTSA
ENSG00000013441.17,CLK1
ENSG00000117154.12,IGSF21
ENSG00000073737.17,DHRS9
ENSG00000108679.13,LGALS3BP
ENSG00000225793.6,TMEM30A-DT
ENSG00000132623.16,ANKEF1
ENSG00000143061.18,IGSF3
ENSG00000168496.4,FEN1
ENSG00000204209.13,DAXX
ENSG00000103375.11,AQP8
ENSG00000005882.12,PDK2
ENSG00000137941.17,TTLL7
ENSG00000119812.20,FAM98A
ENSG00000211937.3,IGHV2-5
ENSG00000115232.14,ITGA4
ENSG00000137142.5,IGFBPL1
ENSG00000181722.18,ZBTB20
ENSG00000108039.18,XPNPEP1
ENSG00000134851.13,TMEM165
ENSG00000139211.7,AMIGO2
ENSG00000117984.15,CTSD
ENSG00000174306.22,ZHX3
ENSG00000146232.17,NFKBIE
ENSG00000176619.13,LMNB2
ENSG00000138069.18,RAB1A
ENSG00000177459.11,ERICH5
ENSG00000159128.16,IFNGR2
ENSG00000213923.13,CSNK1E
ENSG00000060642.12,PIGV
ENSG00000151572.18,ANO4
ENSG00000224934.7,GOT1-DT
ENSG00000118482.12,PHF3
ENSG00000119682.18,AREL1
ENSG00000286522.2,H3C2
ENSG00000177697.19,CD151
ENSG00000107175.12,CREB3
ENSG00000106638.18,TBL2
ENSG00000139970.18,RTN1
ENSG00000228697.7,LOC101928565
ENSG00000175336.10,APOF
ENSG00000143226.16,FCGR2A
ENSG00000226479.4,TMEM185B
ENSG00000145050.19,MANF
ENSG00000187634.13,SAMD11
ENSG00000063046.18,EIF4B
ENSG00000101353.16,MROH8
ENSG00000131096.11,PYY
ENSG00000185624.16,P4HB
ENSG00000178409.14,BEND3
ENSG00000136040.9,PLXNC1
ENSG00000132481.7,TRIM47
ENSG00000155252.14,PI4K2A
ENSG00000122970.16,IFT81
ENSG00000138180.16,CEP55
ENSG00000118777.12,ABCG2
ENSG00000148773.14,MKI67
ENSG00000167778.9,SPRYD3
ENSG00000023892.12,DEF6
ENSG00000168961.17,LGALS9
ENSG00000117586.12,TNFSF4
ENSG00000140939.15,NOL3
ENSG00000133805.16,AMPD3
ENSG00000124003.13,MOGAT1
ENSG00000244045.13,TMEM199
ENSG00000180891.13,CUEDC1
ENSG00000084652.16,TXLNA
ENSG00000197780.11,TAF13
ENSG00000135052.16,GOLM1
ENSG00000165841.11,CYP2C19
ENSG00000128655.19,PDE11A
ENSG00000139291.14,TMEM19
ENSG00000060982.15,BCAT1
ENSG00000169258.7,GPRIN1
ENSG00000169245.6,CXCL10
ENSG00000182134.17,TDRKH
ENSG00000113597.19,TRAPPC13
ENSG00000155850.9,SLC26A2
ENSG00000189057.11,FAM111B
ENSG00000100139.14,MICALL1
ENSG00000137877.10,SPTBN5
ENSG00000151490.15,PTPRO
ENSG00000108433.17,GOSR2
ENSG00000204054.15,LOC124900275
ENSG00000281026.1,N4BP2L2-IT2
ENSG00000154845.16,PPP4R1
ENSG00000167565.13,SERTAD3
ENSG00000090432.7,MUL1
ENSG00000168070.12,MAJIN
ENSG00000085741.14,WNT11
ENSG00000223891.8,OSER1-DT
ENSG00000163958.14,ZDHHC19
ENSG00000186487.21,MYT1L
ENSG00000111199.12,TRPV4
ENSG00000265369.4,PCAT18
ENSG00000196664.5,TLR7
ENSG00000211895.5,IGHA1
ENSG00000204310.13,AGPAT1
ENSG00000054793.14,ATP9A
ENSG00000143851.17,PTPN7
ENSG00000130023.16,ERMARD
ENSG00000156398.13,SFXN2
ENSG00000053747.17,LAMA3
ENSG00000123159.16,GIPC1
ENSG00000117152.14,RGS4
ENSG00000157870.17,PRXL2B
ENSG00000131462.9,TUBG1
ENSG00000173432.13,SAA1
ENSG00000170500.13,LONRF2
ENSG00000275713.3,H2BC9
ENSG00000136828.19,RALGPS1
ENSG00000130475.16,FCHO1
ENSG00000205542.11,TMSB4X
ENSG00000112473.19,SLC39A7
ENSG00000196177.13,ACADSB
ENSG00000122884.13,P4HA1
ENSG00000146122.17,DAAM2
ENSG00000197594.14,ENPP1
ENSG00000113648.17,MACROH2A1
ENSG00000160200.18,CBS
ENSG00000147010.19,SH3KBP1
ENSG00000067992.17,PDK3
ENSG00000068366.21,ACSL4
ENSG00000197859.11,ADAMTSL2
ENSG00000169026.13,SLC49A3
ENSG00000163644.15,PPM1K
ENSG00000112234.9,FBXL4
ENSG00000173950.16,XXYLT1
ENSG00000261150.3,EPPK1
ENSG00000196968.11,FUT11
ENSG00000128641.19,MYO1B
ENSG00000250095.5,NREP-AS1
ENSG00000167977.9,KCTD5
ENSG00000265123.2,RN7SL200P
ENSG00000213742.9,ZNF337-AS1
ENSG00000171160.18,MORN4
ENSG00000237649.8,KIFC1
ENSG00000176399.4,DMRTA1
ENSG00000145632.15,PLK2
ENSG00000224292.2,PORCN-DT
ENSG00000265520.1,MIR548V
ENSG00000152056.18,AP1S3
ENSG00000135272.13,MDFIC
ENSG00000246145.2,RRS1-DT
ENSG00000275714.2,H3C1
ENSG00000162511.8,LAPTM5
ENSG00000164687.11,FABP5
ENSG00000100983.12,GSS
ENSG00000198815.9,FOXJ3
ENSG00000162688.17,AGL
ENSG00000274641.2,H2BC17
ENSG00000196693.15,ZNF33B
ENSG00000196510.14,ANAPC7
ENSG00000002919.15,SNX11
ENSG00000123130.17,ACOT9
ENSG00000174840.10,PDE12
ENSG00000160563.14,MED27
ENSG00000225756.1,DBH-AS1
ENSG00000182718.18,ANXA2
ENSG00000110756.18,HPS5
ENSG00000141526.18,SLC16A3
ENSG00000180340.7,FZD2
ENSG00000133216.17,EPHB2
ENSG00000165934.13,CPSF2
ENSG00000291148.2,AZGP1P1
ENSG00000132773.12,TOE1
ENSG00000196154.12,S100A4
ENSG00000132434.10,LANCL2
ENSG00000181830.9,SLC35C1
ENSG00000172270.22,BSG
ENSG00000198482.14,ZNF808
ENSG00000145868.17,FBXO38
ENSG00000104856.15,RELB
ENSG00000080561.14,MID2
ENSG00000172456.18,FGGY
ENSG00000233930.5,KRTAP5-AS1
ENSG00000012660.14,ELOVL5
ENSG00000123612.16,ACVR1C
ENSG00000184313.20,MROH7
ENSG00000078124.13,ACER3
ENSG00000185753.13,CXorf38
ENSG00000133424.22,LARGE1
ENSG00000076641.4,PAG1
ENSG00000106070.20,GRB10
ENSG00000291190.1,A2MP1
ENSG00000131467.12,PSME3
ENSG00000118985.16,ELL2
ENSG00000134668.13,SPOCD1
ENSG00000112964.14,GHR
ENSG00000152315.5,KCNK13
ENSG00000094975.15,SUCO
ENSG00000165304.8,MELK
ENSG00000185344.15,ATP6V0A2
ENSG00000166002.7,SMCO4
ENSG00000167207.15,NOD2
ENSG00000123453.19,SARDH
ENSG00000083067.27,TRPM3
ENSG00000135956.11,TMEM127
ENSG00000106003.14,LFNG
ENSG00000133731.10,IMPA1
ENSG00000196371.4,FUT4
ENSG00000134339.9,SAA2
ENSG00000125249.7,RAP2A
ENSG00000235770.7,LINC00607
ENSG00000183813.8,CCR4
ENSG00000136295.16,TTYH3
ENSG00000116863.11,ADPRS
ENSG00000244116.3,IGKV2-28
ENSG00000154978.13,VOPP1
ENSG00000227471.9,AKR1B15
ENSG00000204385.13,SLC44A4
ENSG00000165972.13,CCDC38
ENSG00000177054.14,ZDHHC13
ENSG00000184613.11,NELL2
ENSG00000101444.13,AHCY
ENSG00000131747.15,TOP2A
ENSG00000078081.8,LAMP3
ENSG00000174996.12,KLC2
ENSG00000133131.15,MORC4
ENSG00000005981.13,ASB4
ENSG00000166912.17,MTMR10
ENSG00000167004.14,PDIA3
ENSG00000090889.12,KIF4A
ENSG00000064225.13,ST3GAL6
ENSG00000113552.16,GNPDA1
ENSG00000176986.16,SEC24C
ENSG00000245573.10,BDNF-AS
ENSG00000197891.12,SLC22A12
ENSG00000102445.20,RUBCNL
ENSG00000011028.14,MRC2
ENSG00000124253.11,PCK1
ENSG00000168395.16,ING5
ENSG00000241294.1,IGKV2-24
ENSG00000255004.2,SLC1A2-AS1
ENSG00000164309.15,CMYA5
ENSG00000105643.11,ARRDC2
ENSG00000081923.15,ATP8B1
ENSG00000160213.10,CSTB
ENSG00000103042.9,SLC38A7
ENSG00000100605.17,ITPK1
ENSG00000078403.17,MLLT10
ENSG00000168067.12,MAP4K2
ENSG00000183762.13,KREMEN1
ENSG00000164291.17,ARSK
ENSG00000286658.2,LOC124901632
ENSG00000245888.8,NSMCE1-DT
ENSG00000132141.14,CCT6B
ENSG00000176358.16,TAC4
ENSG00000063127.16,SLC6A16
ENSG00000229589.1,ACVR2B-AS1
ENSG00000211959.2,IGHV4-39
ENSG00000293508.2,POLR1HASP
ENSG00000101811.15,CSTF2
ENSG00000178789.10,CD300LB
ENSG00000188229.6,TUBB4B
ENSG00000154096.14,THY1
ENSG00000231389.8,HLA-DPA1
ENSG00000113328.21,CCNG1
ENSG00000141367.14,CLTC
ENSG00000183828.15,NUDT14
ENSG00000101843.19,PSMD10
ENSG00000174171.8,LOC105370792
ENSG00000074416.16,MGLL
ENSG00000129465.16,RIPK3
ENSG00000067225.21,PKM
ENSG00000162882.15,HAAO
ENSG00000107186.17,MPDZ
ENSG00000072786.13,STK10
ENSG00000224373.3,IGHV4-59
ENSG00000006534.17,ALDH3B1
ENSG00000164924.18,YWHAZ
ENSG00000122122.10,SASH3
ENSG00000231028.12,AHI1-DT
ENSG00000168813.17,ZNF507
ENSG00000124067.17,SLC12A4
ENSG00000241839.10,PLEKHO2
ENSG00000247796.3,MOCS2-DT
ENSG00000198952.8,SMG5
ENSG00000117298.16,ECE1
ENSG00000185130.6,H2BC13
ENSG00000130348.11,QRSL1
ENSG00000115956.10,PLEK
ENSG00000145331.14,TRMT10A
ENSG00000104219.13,ZDHHC2
ENSG00000117461.15,PIK3R3
ENSG00000122694.16,GLIPR2
ENSG00000100744.15,GSKIP
ENSG00000105327.18,BBC3
ENSG00000171621.14,SPSB1
ENSG00000104903.5,LYL1
ENSG00000237594.2,TIAM1-AS1
ENSG00000101916.12,TLR8
ENSG00000104375.17,STK3
ENSG00000169442.9,CD52
ENSG00000236806.1,RPL7AP15
ENSG00000250579.4,ADAMTS16-DT
ENSG00000293492.2,NUDT16L2P
ENSG00000203865.13,ATP1A1-AS1
ENSG00000145901.17,TNIP1
ENSG00000112419.15,PHACTR2
ENSG00000188315.8,C3orf62
ENSG00000152894.15,PTPRK
ENSG00000187391.23,MAGI2
ENSG00000096717.12,SIRT1
ENSG00000087470.21,DNM1L
ENSG00000181656.7,GPR88
ENSG00000112818.11,MEP1A
ENSG00000123575.9,FAM199X
ENSG00000114850.7,SSR3
ENSG00000198018.7,ENTPD7
ENSG00000106852.16,LHX6
ENSG00000038945.15,MSR1
ENSG00000196562.16,SULF2
ENSG00000211662.2,IGLV3-21
ENSG00000146085.8,MMUT
ENSG00000111252.11,SH2B3
ENSG00000185561.10,TLCD2
ENSG00000126247.11,CAPNS1
ENSG00000171224.9,FAM241B
ENSG00000122644.13,ARL4A
ENSG00000151348.16,EXT2
ENSG00000130513.7,GDF15
ENSG00000138073.14,PREB
ENSG00000196743.9,GM2A
ENSG00000104549.12,SQLE
ENSG00000181789.14,COPG1
ENSG00000171314.9,PGAM1
ENSG00000078369.19,GNB1
ENSG00000241935.9,HOGA1
ENSG00000186976.15,EFCAB6
ENSG00000284377.3,LOC105373347
ENSG00000100503.27,NIN
ENSG00000124126.14,PREX1
ENSG00000165025.15,SYK
ENSG00000197016.12,ZNF470
ENSG00000070404.10,FSTL3
ENSG00000185896.11,LAMP1
ENSG00000116675.16,DNAJC6
ENSG00000143228.13,NUF2
ENSG00000239951.1,IGKV3-20
ENSG00000223552.4,CCR5AS
ENSG00000183856.11,IQGAP3
ENSG00000115233.12,PSMD14
ENSG00000100280.17,AP1B1
ENSG00000226828.3,LINC02774
ENSG00000153165.19,RGPD3
ENSG00000095637.23,SORBS1
ENSG00000101443.18,WFDC2
ENSG00000186951.17,PPARA
ENSG00000118946.12,PCDH17
ENSG00000100401.21,RANGAP1
ENSG00000107890.17,ANKRD26
ENSG00000141441.16,GAREM1
ENSG00000131236.18,CAP1
ENSG00000253138.6,LINC00967
ENSG00000119899.13,SLC17A5
ENSG00000231971.7,CT69
ENSG00000149554.15,CHEK1
ENSG00000179915.25,NRXN1
ENSG00000153037.15,SRP19
ENSG00000228526.9,MIR34AHG
ENSG00000198178.11,CLEC4C
ENSG00000170113.16,NIPA1
ENSG00000244575.3,IGKV1-27
ENSG00000069667.16,RORA
ENSG00000100721.11,TCL1A
ENSG00000197451.12,HNRNPAB
ENSG00000171055.15,FEZ2
ENSG00000170312.17,CDK1
ENSG00000162627.17,SNX7
ENSG00000168237.18,GLYCTK
ENSG00000198642.8,KLHL9
ENSG00000139505.13,MTMR6
ENSG00000184014.9,DENND5A
ENSG00000123342.16,MMP19
ENSG00000186918.14,ZNF395
ENSG00000269335.7,IKBKG
ENSG00000182919.15,C11orf54
ENSG00000101003.12,GINS1
ENSG00000168356.13,SCN11A
ENSG00000048392.13,RRM2B
ENSG00000140367.12,UBE2Q2
ENSG00000102996.5,MMP15
ENSG00000150337.14,FCGR1A
ENSG00000137078.10,SIT1
ENSG00000183943.6,PRKX
ENSG00000171612.7,SLC25A33
ENSG00000178078.12,STAP2
ENSG00000186340.17,THBS2
ENSG00000104361.10,NIPAL2
ENSG00000227043.4,LINC01682
ENSG00000014257.17,ACP3
ENSG00000184840.12,TMED9
ENSG00000247077.8,PGAM5
ENSG00000198730.10,CTR9
ENSG00000100814.19,CCNB1IP1
ENSG00000086205.18,FOLH1
ENSG00000119509.13,INVS
ENSG00000164070.12,HSPA4L
ENSG00000126091.21,ST3GAL3
ENSG00000185803.12,SLC52A2
ENSG00000141570.11,CBX8
ENSG00000211660.3,IGLV2-23
ENSG00000153250.21,RBMS1
ENSG00000154080.14,CHST9
ENSG00000002746.15,HECW1
ENSG00000197555.10,SIPA1L1
ENSG00000170909.14,OSCAR
ENSG00000175063.17,UBE2C
ENSG00000133789.15,SWAP70
ENSG00000263293.4,EFCAB13-DT
ENSG00000185904.13,LINC00839
ENSG00000026508.21,CD44
ENSG00000116754.14,SRSF11
ENSG00000162174.12,ASRGL1
ENSG00000022976.16,ZNF839
ENSG00000197776.8,KLHDC1
ENSG00000108639.8,SYNGR2
ENSG00000107099.18,DOCK8
ENSG00000052344.16,PRSS8
ENSG00000092036.19,HAUS4
ENSG00000137168.8,PPIL1
ENSG00000238390.1,LOC124900469
ENSG00000073146.17,MOV10L1
ENSG00000255545.9,B3GAT1-DT
ENSG00000105550.10,FGF21
